title,link,description,category,pubdate
Police Cooperation Code: Questions and Answers,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6646,"European Commission Questions and answers Brussels, 09 Dec 2021 Why do we need to continue strengthening police cooperation in the EU?","['SECUUNION', 'BORDSECU']",2021-12-07 23:00:00+00:00
Questions and Answers: Agreement on new rules governing VAT rates,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6609,"European Commission Questions and answers Brussels, 07 Dec 2021 Why did the rules governing VAT rates need to be updated?
Current EU rules on VAT rates are almost thirty years old and were in urgent need of modernisation giv...",['TAXCUAA'],2021-12-06 23:00:00+00:00
Questions and Answers on Spain's disbursement request under NextGenerationEU,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6596,"European Commission Questions and answers Brussels, 03 Dec 2021 How did the Commission assess Spain's first payment request?
On 11 November 2021, Spain submitted to the Commission a request for the disbursement of €10 billio...","['ECOMONAFF', 'PR-ECOM', 'RECOVERY', 'NGEU']",2021-12-03 10:26:21+00:00
Questions and Answers: VAT Gap,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6429,"European Commission Questions and answers Brussels, 02 Dec 2021 What is VAT?
Value-Added Tax (VAT) is a consumption tax charged on most goods and services consumed in the EU. The tax is levied on the 'value added' to the pro...",['TAXCUAA'],2021-12-01 23:00:00+00:00
Questions and Answers on the digitalisation of EU justice systems,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6388,"European Commission Questions and answers Brussels, 01 Dec 2021 


Digitalisation of cross-border judicial cooperation

What are the main elements of the proposal?
This initiative aims to modernise EU cross-border judicial c...","['JFRC', 'PR-DEMOC']",2021-11-30 23:00:00+00:00
Questions and Answers on Global Gateway,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6434,"European Commission Questions and answers Brussels, 15 Feb 2022 The COVID-19 pandemic has harshly exposed the impact of today's incomplete, incompatible or disconnected global infrastructure. The lack of digital connections, the disruption to supply chains and the scarcity of medical goods has tremendous human and economic consequences.","['DEVEL', 'ENLNEIG', 'HREXTRELS', 'PRESIDENCY', 'NEIGHB', 'PR-EUWORLD', 'GLOBGA']",2021-11-30 23:00:00+00:00
Questions & Answers on the new Commission proposal for a Council Recommendation to facilitate safe free movement during the COVID-19 pandemic,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6281,"European Commission Questions and answers Brussels, 30 Nov 2021 1. Why was this proposal adopted?
Since June 2021, vaccine uptake has increased significantly and the rollout of the EU Digital COVID Certificate has progressed...","['HEALTHPOL', 'JFRC']",2021-11-25 07:41:48+00:00
Questions and Answers on the 2021 Capital Markets Union package,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6252,"European Commission Questions and answers Brussels, 25 Nov 2021 Overview of 2021 Capital Markets Union (CMU) package
Today's CMU package consists of the following legislative and non-legislative elements:

A Communication: ‘...","['FINSTAB', 'PR-ECOM']",2021-11-24 23:00:00+00:00
Questions and Answers: Commission adopts new EU Air Safety List,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6269,"European Commission Questions and answers Brussels, 25 Nov 2021 What is the EU Air Safety List?
The EU Air Safety List (ASL) is a list of air carriers from non-EU countries, which do not fulfil international safety standards...",['TRANSPORT'],2021-11-24 23:00:00+00:00
Questions & Answers: Reinforcing democracy and integrity of elections,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6212,"European Commission Questions and answers Brussels, 26 Nov 2021 In a healthy and thriving democracy, citizens can freely express their views and learn information from transparent and pluralistic sources. They can effectivel...","['JFRC', 'PR-DEMOC']",2021-11-24 23:00:00+00:00
"Annex*
LIFE programme: short summaries of projects resulting from the LIFE 2020 Call for proposals 2020",https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6179,"European Commission Questions and answers Brussels, 25 Nov 2021 *The list of projects is being updated as new grant agreements are signed; the list will be finalised by December 2021.
Projects are listed by country of the pr...","['CLIMACTION', 'ENVIRO', 'PR-GREENDEAL']",2021-11-24 23:00:00+00:00
Questions and Answers: European Semester Autumn package,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6107,"European Commission Questions and answers Brussels, 24 Nov 2021 What does today's package include? 
Today, the European Commission presents:

Annual Sustainable Growth Survey 2022
Alert Mechanism Report 2022
Proposal for a J...","['ECOMONAFF', 'ESAI', 'PR-ECOM', 'RECOVERY']",2021-11-23 23:00:00+00:00
Questions and answers on proposals to blacklist transport operators involved in facilitating the smuggling or trafficking of people,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6221,"European Commission Questions and answers Brussels, 25 Nov 2021 1. Overview
Since October 2020, the EU has progressively expanded its restrictive measures in light of the situation in Belarus. These measures responded to the...","['TRANSPORT', 'MIGR']",2021-11-22 23:00:00+00:00
Questions and Answers on the fifth list of energy Projects of Common Interest (PCIs),https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6093,"European Commission Questions and answers Brussels, 19 Nov 2021 What are PCIs?",['ENERGY'],2021-11-18 23:00:00+00:00
Questions and Answers on new EU rules on waste shipments,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_5918,"European Commission Questions and answers Brussels, 17 Nov 2021 Questions and Answers on new EU rules on waste shipments","['ENVIRO', 'PR-GREENDEAL']",2021-11-16 23:00:00+00:00
Questions and Answers on new rules for deforestation-free products,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_5919,"European Commission Questions and answers Brussels, 17 Nov 2021 Why is the EU acting on global deforestation and forest degradation?","['ENVIRO', 'PR-GREENDEAL']",2021-11-16 23:00:00+00:00
Questions and Answers on the EU Soil Strategy,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_5917,"European Commission Questions and answers Brussels, 17 Nov 2021 Why do we need to act on soils?","['ENVIRO', 'PR-GREENDEAL']",2021-11-16 23:00:00+00:00
